frame_id,frame_name,delta_area_nm2_per_frame
283,11dd74426e8374ac110c4036c77c09ab_000000000289,12.000000
284,11dd74426e8374ac110c4036c77c09ab_000000000290,-371.934776
285,11dd74426e8374ac110c4036c77c09ab_000000000291,122.263042
286,11dd74426e8374ac110c4036c77c09ab_000000000292,370.413612
287,11dd74426e8374ac110c4036c77c09ab_000000000293,-299.877242
288,11dd74426e8374ac110c4036c77c09ab_000000000294,21.160911
289,11dd74426e8374ac110c4036c77c09ab_000000000295,791.730203
290,11dd74426e8374ac110c4036c77c09ab_000000000296,-0.317209
291,11dd74426e8374ac110c4036c77c09ab_000000000297,-467.882633
292,11dd74426e8374ac110c4036c77c09ab_000000000298,-368.202050
293,11dd74426e8374ac110c4036c77c09ab_000000000299,-8.241129
294,11dd74426e8374ac110c4036c77c09ab_000000000300,-257.447211
295,11dd74426e8374ac110c4036c77c09ab_000000000301,19.691403
296,11dd74426e8374ac110c4036c77c09ab_000000000302,-20.573108
297,11dd74426e8374ac110c4036c77c09ab_000000000303,2.645114
298,11dd74426e8374ac110c4036c77c09ab_000000000304,-343.298226
299,11dd74426e8374ac110c4036c77c09ab_000000000305,-13.592920
300,11dd74426e8374ac110c4036c77c09ab_000000000306,76.743363
301,11dd74426e8374ac110c4036c77c09ab_000000000307,276.033161
302,11dd74426e8374ac110c4036c77c09ab_000000000308,-11.168259
303,11dd74426e8374ac110c4036c77c09ab_000000000309,91.453760
304,11dd74426e8374ac110c4036c77c09ab_000000000310,-94.686677
305,11dd74426e8374ac110c4036c77c09ab_000000000311,3.232917
306,11dd74426e8374ac110c4036c77c09ab_000000000312,-341.608266
307,11dd74426e8374ac110c4036c77c09ab_000000000313,647.370827
308,11dd74426e8374ac110c4036c77c09ab_000000000314,25.333842
309,11dd74426e8374ac110c4036c77c09ab_000000000315,-1.220908
310,11dd74426e8374ac110c4036c77c09ab_000000000316,-21.365891
311,11dd74426e8374ac110c4036c77c09ab_000000000317,367.766236
312,11dd74426e8374ac110c4036c77c09ab_000000000318,-350.063070
313,11dd74426e8374ac110c4036c77c09ab_000000000319,18.313621
314,11dd74426e8374ac110c4036c77c09ab_000000000320,-33.508203
315,11dd74426e8374ac110c4036c77c09ab_000000000321,54.015643
316,11dd74426e8374ac110c4036c77c09ab_000000000322,-20.583747
317,11dd74426e8374ac110c4036c77c09ab_000000000323,-0.534147
318,11dd74426e8374ac110c4036c77c09ab_000000000324,14.498283
319,11dd74426e8374ac110c4036c77c09ab_000000000325,67.913010
320,11dd74426e8374ac110c4036c77c09ab_000000000326,-2.136589
321,11dd74426e8374ac110c4036c77c09ab_000000000327,-322.206807
322,11dd74426e8374ac110c4036c77c09ab_000000000328,144.158707
323,11dd74426e8374ac110c4036c77c09ab_000000000329,-1.910360
324,11dd74426e8374ac110c4036c77c09ab_000000000330,308.764260
325,11dd74426e8374ac110c4036c77c09ab_000000000331,-4.578405
326,11dd74426e8374ac110c4036c77c09ab_000000000332,-449.667118
327,11dd74426e8374ac110c4036c77c09ab_000000000333,361.151284
328,11dd74426e8374ac110c4036c77c09ab_000000000334,75.696299
329,11dd74426e8374ac110c4036c77c09ab_000000000335,-1.373522
330,11dd74426e8374ac110c4036c77c09ab_000000000336,205.475127
331,11dd74426e8374ac110c4036c77c09ab_000000000337,-98.340446
332,11dd74426e8374ac110c4036c77c09ab_000000000338,0.915681
334,11dd74426e8374ac110c4036c77c09ab_000000000374,3392.822652
335,11dd74426e8374ac110c4036c77c09ab_000000000375,-210.139603
