frame,cx,cy
998,768.20,445.60
999,739.62,428.01
1000,763.91,444.12
1001,738.37,432.91
1002,760.13,438.13
1003,756.18,425.88
1004,748.29,419.43
1005,734.79,424.08
1006,756.23,426.05
1007,742.83,428.57
1008,737.10,417.73
1009,736.62,428.53
1010,756.43,419.13
1011,741.50,398.02
1012,761.65,425.14
1013,736.15,408.19
1014,725.41,422.95
1015,743.28,410.30
1016,746.16,428.50
1017,708.97,414.75
1018,730.24,419.97
1019,731.51,417.22
1020,671.80,409.71
1021,768.37,479.07
1022,762.76,468.64
1023,748.05,473.22
1024,755.60,463.39
1025,756.26,461.93
1026,781.56,473.34
1027,741.33,451.89
1028,760.42,459.02
1029,763.91,462.17
1030,734.02,447.16
1031,767.31,475.41
1032,766.74,467.80
1033,756.54,443.70
1034,745.90,444.44
1035,967.35,641.71
1035,746.32,439.16
1036,972.49,641.41
1036,724.47,444.91
1037,739.06,438.27
1038,745.01,456.45
1039,720.17,434.45
1040,727.80,446.10
1041,742.50,457.37
1042,753.07,462.69
1043,731.78,440.03
1044,742.74,440.94
1045,747.66,441.59
1046,725.24,441.14
1047,694.90,385.79
1048,732.45,422.53
1049,695.60,431.92
1050,718.49,449.02
1051,748.78,441.82
1052,708.02,452.97
1053,731.71,465.66
1054,714.42,465.56
1055,727.75,459.63
1056,712.44,458.19
1057,714.42,453.44
1058,707.21,451.24
1059,721.43,458.46
1060,723.58,452.16
1061,713.46,450.53
1062,702.31,444.16
1063,710.02,456.18
1064,701.72,445.62
1065,703.19,444.30
1066,861.89,587.67
1066,690.22,448.50
1067,657.44,431.79
1068,682.92,448.28
1069,691.81,445.09
1070,672.72,434.40
1071,701.01,445.60
1072,704.18,446.28
1073,686.61,431.69
1074,678.08,429.30
1075,666.25,431.31
1076,675.62,439.60
1077,682.79,418.65
1078,691.06,427.67
1079,704.39,439.73
1080,693.11,432.47
1081,699.76,445.51
1082,693.12,443.65
1083,690.77,443.67
1084,708.20,445.72
1085,705.31,439.26
1086,716.55,451.99
1087,715.90,467.28
1088,706.92,460.82
1089,723.66,456.33
1090,723.61,454.21
1091,703.87,442.36
1092,719.88,453.59
1093,712.73,455.77
1094,743.84,464.64
1095,743.27,476.36
1096,699.23,450.44
1097,712.36,447.83
1098,720.79,439.08
1099,728.79,458.20
1100,739.59,458.90
1101,904.81,586.41
1101,938.27,587.65
1101,921.10,588.13
1101,708.41,453.92
1102,680.25,417.29
1103,683.64,436.04
1104,680.27,429.61
1105,680.60,423.43
1106,717.34,434.20
1107,685.53,428.87
1108,702.07,442.65
1109,710.48,420.91
1110,706.54,427.69
1111,694.10,438.30
1112,698.08,428.05
1113,739.60,437.81
1114,1083.17,433.10
1114,687.11,414.75
1115,1080.61,432.99
1115,703.06,416.41
1116,703.12,405.42
1117,701.66,420.22
1118,748.26,410.07
1119,692.87,413.44
1120,707.77,422.77
1121,699.44,409.01
1122,720.41,416.28
1123,639.79,397.18
1124,708.07,408.02
1125,695.99,414.21
1126,725.95,424.13
1127,704.55,415.25
1128,734.41,414.40
1129,281.55,325.46
1129,698.75,396.34
1130,720.81,534.98
1130,284.81,337.98
1130,283.48,330.44
1130,744.52,419.68
1131,282.36,312.03
1131,709.10,405.66
1132,634.41,422.44
1133,1252.57,668.75
1133,760.94,463.30
1134,814.15,493.10
1135,831.55,478.21
1136,830.85,480.35
1137,861.95,505.50
1138,790.93,474.55
1139,1249.31,589.96
1139,1246.31,584.96
1139,790.12,472.07
1140,1250.61,585.54
1140,823.14,480.05
1141,1247.84,583.99
1141,817.76,487.43
1142,1252.38,623.69
1142,1249.04,602.36
1142,865.32,506.33
1143,1251.94,631.73
1143,840.27,497.89
1144,871.00,496.08
1145,865.15,487.77
1146,857.39,488.72
1147,896.67,504.87
1148,880.29,491.60
1149,870.17,484.68
1150,852.17,489.30
1151,819.07,494.03
1152,837.67,488.94
1153,854.58,500.56
1154,797.61,484.63
1155,815.72,494.94
1156,817.37,490.67
1157,810.71,485.20
1158,786.67,482.69
1159,768.83,476.85
