instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
143,608,11dd74426e8374ac110c4036c77c09ab_000000000663,0.338788,462.783357,362.324039,226.805886
143,609,11dd74426e8374ac110c4036c77c09ab_000000000664,0.343351,483.348070,368.054414,229.372041
143,610,11dd74426e8374ac110c4036c77c09ab_000000000665,0.344520,479.762611,370.341013,229.542322
143,611,11dd74426e8374ac110c4036c77c09ab_000000000666,0.344520,480.237389,368.238900,230.234769
143,612,11dd74426e8374ac110c4036c77c09ab_000000000667,0.344520,483.204748,372.351403,230.057021
143,613,11dd74426e8374ac110c4036c77c09ab_000000000668,0.344520,480.237389,371.428658,229.752096
143,614,11dd74426e8374ac110c4036c77c09ab_000000000669,0.343351,468.965517,370.964471,229.049731
143,615,11dd74426e8374ac110c4036c77c09ab_000000000670,0.343351,467.786620,369.915391,228.530786
143,616,11dd74426e8374ac110c4036c77c09ab_000000000671,0.343351,464.603596,370.996786,229.289913
143,617,11dd74426e8374ac110c4036c77c09ab_000000000672,0.344520,470.267062,370.082707,229.079856
143,618,11dd74426e8374ac110c4036c77c09ab_000000000673,0.344520,469.080119,370.193103,229.789946
143,619,11dd74426e8374ac110c4036c77c09ab_000000000674,0.344520,470.148368,371.323687,230.116404
143,620,11dd74426e8374ac110c4036c77c09ab_000000000675,0.344520,464.332344,370.760939,229.930538
143,621,11dd74426e8374ac110c4036c77c09ab_000000000676,0.333241,428.317601,357.288584,222.365690
143,622,11dd74426e8374ac110c4036c77c09ab_000000000677,0.333241,425.541366,357.507355,222.328001
143,623,11dd74426e8374ac110c4036c77c09ab_000000000678,0.333241,420.544142,360.087734,222.200290
143,624,11dd74426e8374ac110c4036c77c09ab_000000000679,0.333241,421.099389,358.735652,222.516852
143,625,11dd74426e8374ac110c4036c77c09ab_000000000680,0.343351,451.399941,368.096034,227.837587
143,626,11dd74426e8374ac110c4036c77c09ab_000000000681,0.344520,443.086053,369.800723,229.769255
143,627,11dd74426e8374ac110c4036c77c09ab_000000000682,0.343351,441.615090,371.865600,228.894674
143,628,11dd74426e8374ac110c4036c77c09ab_000000000683,0.338788,432.252511,367.877821,227.375937
143,629,11dd74426e8374ac110c4036c77c09ab_000000000684,0.338788,433.285509,365.311639,225.678004
143,630,11dd74426e8374ac110c4036c77c09ab_000000000685,0.333241,413.770128,359.662559,222.911274
143,631,11dd74426e8374ac110c4036c77c09ab_000000000686,0.338788,426.972740,365.199440,225.980792
143,632,11dd74426e8374ac110c4036c77c09ab_000000000687,0.333241,411.215991,359.836217,222.340815
143,633,11dd74426e8374ac110c4036c77c09ab_000000000688,0.333241,405.774570,357.639480,222.375778
143,634,11dd74426e8374ac110c4036c77c09ab_000000000689,0.333241,401.554692,357.064729,222.054599
144,602,11dd74426e8374ac110c4036c77c09ab_000000000657,0.343351,295.903330,305.682616,207.961340
144,603,11dd74426e8374ac110c4036c77c09ab_000000000658,0.338788,289.354376,300.852235,204.893279
144,604,11dd74426e8374ac110c4036c77c09ab_000000000659,0.343351,296.021220,307.101830,208.093470
144,605,11dd74426e8374ac110c4036c77c09ab_000000000660,0.350446,355.173473,312.993117,211.904417
144,606,11dd74426e8374ac110c4036c77c09ab_000000000661,0.350446,307.890697,309.921923,212.556476
144,607,11dd74426e8374ac110c4036c77c09ab_000000000662,0.337676,285.290764,302.667719,204.766594
144,608,11dd74426e8374ac110c4036c77c09ab_000000000663,0.338788,285.337159,300.863918,205.427640
